hash	citation	verified	new_hash	author	title	URL	DOI	year	reference_count	is_referenced_by_count
('Samal A,  Singh S,  Giri V, et al. Low degree metabolites explain essential reactions and enhance modularity in biological networks, BMC Bioinformatics , 2006, vol. 7 pg. 118', 'CITATION ONLY')	Samal A,  Singh S,  Giri V, et al. Low degree metabolites explain essential reactions and enhance modularity in biological networks, BMC Bioinformatics , 2006, vol. 7 pg. 118	1	('Low degree metabolites explain essential reactions and enhance modularity in biological networks', 2006)	Areejit Samal and Shalini Singh and Varun Giri and Sandeep Krishna and Nandula Raghuram and Sanjay Jain	Low degree metabolites explain essential reactions and enhance modularity in biological networks	http://dx.doi.org/10.1186/1471-2105-7-118	10.1186/1471-2105-7-118	2006		
('Tessellations', 2009.0)	Bonahon, F. Low-Dimensional Geometry (AMS, 2009)	1	('Low-Dimensional Geometry', 2009)	Francis Bonahon	Low-Dimensional Geometry	http://dx.doi.org/10.1090/stml/049/06	10.1090/stml/049/06	2009		
('Book Review of Gnuplot in Action Gnuplot in Action . By Philipp K. Janert . Manning Publications Co. : Greenwich, CT , 2009 . xxvi + 295pp + appendices. ISBN 1-933988-39-8 . E-book, U.S. $22.50; softcover, U.S. $34.99.', 2008.0)	Erik Hatcher , Otis Gospodnetic, Lucene in Action (In Action series), Manning Publications Co., Greenwich, CT, 2004	1	('Lucene in Action', 2004)	Erik Hatcher and Otis Gospodnetic	Lucene in Action	http://dx.doi.org/10.1021/ci800306b	10.1021/ci800306b	2004		
('Principles of Information Filtering in Metric Spaces', 2009.0)	Ciaccia, P., Patella, M., Zezula, P.: M-tree: An efficient access method for similarity search in metric spaces. In: VLDB, pp. 426â€“435 (1997)	1	('M-tree: An efficient access method for similarity search in metric spaces', 1997)	Paolo Ciaccia and Marco Patella and P Zezula	M-tree: An efficient access method for similarity search in metric spaces	http://dx.doi.org/10.1109/sisap.2009.11	10.1109/sisap.2009.11	1997		
('A Method for Multistrategy Task-adaptive Learning Based on Plausible Justifications', 1991.0)	R. Michalski and G. Tecuci. Machine Learning: A Multistrategy Approach. Volume IV. Morgan Kaufmann Publishers, 1994.	1	('Machine Learning: A Multistrategy Approach. Volume IV', 1994)	Gheorghe D. Tecuci and Ryszard S. Michalski	Machine Learning: A Multistrategy Approach. Volume IV	http://dx.doi.org/10.1016/b978-1-55860-200-7.50112-4	10.1016/b978-1-55860-200-7.50112-4	1994		
('Computer Vision through Learning', 1997.0)	R.S. Michalski, A. Rosenfeld, and Y. Aloimonos. Machine Vision and Learning: Research Issues and Directions. Proc. NSF/ARPA Workshop on Machine Learning and Vision, Harpers Ferry, West Virigina, 1992.	1	('Machine Vision and Learning: Research Issues and Directions', 1992)	R. S. Michalski and A. Rosenfeld and Y. Aloimonos	Machine Vision and Learning: Research Issues and Directions	http://dx.doi.org/10.21236/ada341212	10.21236/ada341212	1992		
('Support vector machines', 'None')	Thorsten Joachims, Making large-scale support vector machine learning practical, Advances in kernel methods: support vector learning, MIT Press, Cambridge, MA, 1999	1	('Making large-scale support vector machine learning practical', 1999)	Thorsten Joachims	Making large-scale support vector machine learning practical	http://dx.doi.org/10.1017/cbo9781139176224.016	10.1017/cbo9781139176224.016	1999		
('Advances in Kernel Methods. Support Vector Learning, B. Scholkopf, C.J.C. Burges, A.J. Smola (Eds.); MIT Press, Cambridge, 1999, pp. 376+vii. ISBN 0-262-19416-3.', 2002.0)	Joachims, T. Making large-scale SVM learning practical. In Advances in Kernel Methods:â€‰ Support Vector Learning; SchÃ¶lkopf, B., Burges, C., Smola, A., Eds.; MIT:â€‰ Cambridge, MA, 1999; pp 169âˆ’184.	1	('Making large-scale SVM learning practical', 1999)	T Joachims	Making large-scale SVM learning practical	http://dx.doi.org/10.1016/s0925-2312(01)00684-1	10.1016/s0925-2312(01)00684-1	1999		
('Index of Manuscripts', 'None')	J. Edwards, Y. W. Teh, D. Forsyth, R. Bock, M. Maire, G. Vesom, L. Saul, Y. Weiss, L. Bottou, Making latin manuscripts searchable using gHMM's, MIT Press, pp. 385-392, 2005.	1	('Making latin manuscripts searchable using gHMMs', 2005)	J Edwards and Y W Teh and D Forsyth and R Bock and M Maire and G Vesom and L Saul and Y Weiss and L Bottou	Making latin manuscripts searchable using gHMMs	http://dx.doi.org/10.1163/9789004360860_015	10.1163/9789004360860_015	2005		
('Explaining Stakeholder Negotiation Using Social Goal Networks', 2007.0)	E. Adar and C. Re, â€œManaging uncertainty in social networks,â€\x9d IEEE Data Eng. Bull., vol. 30, no. 2, pp. 15â€“22, 2007.	1	('Managing uncertainty in social networks', 2007)	E Adar and C Re	Managing uncertainty in social networks	http://dx.doi.org/10.1109/re.2007.36	10.1109/re.2007.36	2007		
('Novel sensing mechanisms and targets for the cAMP-protein kinase A pathway in the yeast Saccharomyces cerevisiae', 1999.0)	Gustin, M.C., Albertyn, J., Alexander, M., et al. 1998. MAP kinase pathways in the yeast Saccharomyces cerevisiae. Microbiol. Mol. Biol. Rev. 62, 1264â€“1300.	1	('MAP kinase pathways in the yeast Saccharomyces cerevisiae', 1998)	M C Gustin and J Albertyn and M Alexander	MAP kinase pathways in the yeast Saccharomyces cerevisiae	http://dx.doi.org/10.1046/j.1365-2958.1999.01538.x	10.1046/j.1365-2958.1999.01538.x	1998		
('The Effects of Navigation Sensors and Spatial Road Network Data Quality on the Performance of Map Matching Algorithms', 2008.0)	Ochieng, W.Y., Quddus, M.A. & Noland, R.B. (2003). Map-Matching in Complex Urban Road Networks, Brazilian Journal of Cartography (Revista Brasileira de Cartografia), Vol. 55 (2), pp. 1-18	1	('Map-Matching in Complex Urban Road Networks', 2003)	Mohammed A. Quddus and Robert B. Noland and Washington Y. Ochieng	Map-Matching in Complex Urban Road Networks	http://dx.doi.org/10.1007/s10707-007-0044-x	10.1007/s10707-007-0044-x	2003		
('Connectivity analysis in fMRI activation datasets', 2000.0)	D. Cordes, V. M. Haughton, K. Arfanakis, G. J. Wendt, P. A. Turski, C. H. Moritz, M. A. Quigley, and M. E. Meyerand. Mapping functionally related regions of brain with functional connectivity MR imaging. American Journal of Neuroradiology, 21(9):1636â€“1644, 2000.	1	('Mapping functionally related regions of brain with functional connectivity MR imaging', 2000)	C. Moritz and K. Arfanakis and D. Cordes and V. Haughton and M. Elizabeth Meyerand and G J Wendt and P A Turski and M A Quigley	Mapping functionally related regions of brain with functional connectivity MR imaging	http://dx.doi.org/10.1016/s1053-8119(00)91506-4	10.1016/s1053-8119(00)91506-4	2000		
('H. Kashima, K. Tsuda, and A. Inokuchi. Marginalized kernels between labeled graphs. In Proc. of the 20th International Conference on Machine Learning, pages 321--328. AAAI Press, 2003.', 'CITATION ONLY')	H. Kashima, K. Tsuda, and A. Inokuchi. Marginalized kernels between labeled graphs. In Proc. of the 20th International Conference on Machine Learning, pages 321--328. AAAI Press, 2003.	1	('Marginalized kernels between labeled graphs', 2003)	Hisashi Kashima and A Inokuchi and Koji Tsuda	Marginalized kernels between labeled graphs	http://dx.doi.org/10.4018/9781615209118.ch001	10.4018/9781615209118.ch001	2003		
('Graph Kernels for Chemoinformatics', 'None')	Kashima H, Tsuda K, Inokuchi A (2003) Marginalized kernels between labeled graphs. In: Proceedings of the twentieth international conference on machine learning. AAAI Press, pp 321â€“328	1	('Marginalized kernels between labeled graphs', 2003)	Hisashi Kashima and A Inokuchi and Koji Tsuda	Marginalized kernels between labeled graphs	http://dx.doi.org/10.4018/9781615209118.ch001	10.4018/9781615209118.ch001	2003		
('Kashima, H., Tsuda, K., Inokuchi, A.: Marginalized kernels between labeled graphs. In: Proceedings of the 20th International Conference on Machine Learning (2003) (to appear)', 'CITATION ONLY')	Kashima, H., Tsuda, K., Inokuchi, A.: Marginalized kernels between labeled graphs. In: Proceedings of the 20th International Conference on Machine Learning (2003) (to appear)	1	('Marginalized kernels between labeled graphs', 2003)	Hisashi Kashima and A Inokuchi and Koji Tsuda	Marginalized kernels between labeled graphs	http://dx.doi.org/10.4018/9781615209118.ch001	10.4018/9781615209118.ch001	2003		
('Kernel-based discriminative learning algorithms for labeling sequences, trees, and graphs', 2004.0)	Kashima, H.; Tsuda, K.; Inokuchi, A. Marginalized kernels between labeled graphs. Proceedings of the 20th International Conference on Machine Learning (ICML 2003), Washington, DC, U.S.A., 2003; Fawcett, T., Mishra, N., Eds.; AAAI Press:â€‰ Menlo Park, CA, pp 321âˆ’328.	1	('Marginalized kernels between labeled graphs', 2003)	Hisashi Kashima and A Inokuchi and Koji Tsuda	Marginalized kernels between labeled graphs	http://dx.doi.org/10.4018/9781615209118.ch001	10.4018/9781615209118.ch001	2003		
('PNA-enhanced DNA computing', 'None')	R. Alberich, J. Miro-Julia, and F. Rossello, Marvel Universe looks almost like a real social network, arXiv:condâ€“mat/0202174 (2002).	1	('Marvel Universe looks almost like a real social network', 2002)	J. Miro-Julia and F. Rossello and R Alberich	Marvel Universe looks almost like a real social network	http://dx.doi.org/10.1109/cec.1999.782525	10.1109/cec.1999.782525	2002		
('AUTO CARTO LONDON 1986', 1985.0)	Rosen, B. & Saalfeld, A. (1985). Match Criteria for Automatic Alignment, Proc. of Auto-Carto VII, 1985	1	('Match Criteria for Automatic Alignment', 1985)	B Rosen and A Saalfeld	Match Criteria for Automatic Alignment	http://dx.doi.org/10.1179/003962685791475224	10.1179/003962685791475224	1985		
('', 1984.0)	Rosen, B., Saalfeld, A., 1985. Match criteria for automatic alignment. In: Proceedings of Auto-Carto VII, American Congress on Surveying and Mapping and American Society for Photogrammetry and Remote Sensing, pp. 1â€“20	1	('Match Criteria for Automatic Alignment', 1985)	B Rosen and A Saalfeld	Match Criteria for Automatic Alignment	http://dx.doi.org/10.1179/003962685791475224	10.1179/003962685791475224	1985		
('Mantel, D. & Lipeck, U. (2004). Matching Cartographic Objects in Spatial Databases, ISPRS Vol. XXXV, ISPRS Congress, Commission 4, Istanbul, Turkey, July 12-23, 2004', 'CITATION ONLY')	Mantel, D. & Lipeck, U. (2004). Matching Cartographic Objects in Spatial Databases, ISPRS Vol. XXXV, ISPRS Congress, Commission 4, Istanbul, Turkey, July 12-23, 2004	1	('Matching Cartographic Objects in Spatial Databases', 2004)	D Mantel and U Lipeck	Matching Cartographic Objects in Spatial Databases,	http://dx.doi.org/10.1016/s0924-2716(04)00027-9	10.1016/s0924-2716(04)00027-9	2004		
('Research on automatic generalization methods of geographical spatial data', 2007.0)	Olteanu A.-M. (2007). Matching geographical data using the Theory of Evidence, CD-Proc. of the XXIII International Cartographic Conference (ICC), Incremental Updating and Versioning of Spatial Data, Moscow, Russia, August 4-10, 2007	1	('Matching geographical data using the Theory of Evidence', 2007)	A M Olteanu	Matching geographical data using the Theory of Evidence	http://dx.doi.org/10.1117/12.759471	10.1117/12.759471	2007		
('Spatial accuracy assessment in natural resources and environmental sciences: Second International Symposium', 1996.0)	Olteanu, A.-M., MustiÃ¨re, S., & Ruas, A. (2006). Matching imperfect spatial data, 7th International Symposium on Spatial Accuracy Assessment in Natural Resources and Environmental Sciences, Lisbon, Portugal, July 5-7, 2006	1	('Matching imperfect spatial data', 2006)	A M Olteanu and A Ruas and S MustiÃ¨re	Matching imperfect spatial data	http://dx.doi.org/10.2737/rm-gtr-277	10.2737/rm-gtr-277	1996		
