hash	title	auto_verified	verified	checked	file_loc	citation	len(ref_list)
('Path Matching and Graph Matching in Biological Networks', 2007)	Path Matching and Graph Matching in Biological Networks	1	1	1	./bibliographies\database168.txt	Qingwu Yang, Sing-Hoi Sze, Path matching and graph matching in biological networks	36
('Cyclic pattern kernels for predictive graph mining', 2004)	Cyclic pattern kernels for predictive graph mining	1	1	1	./bibliographies\database17.txt	Tamas Horvath, Thomas Gartner, Stefan Wrobel, Cyclic pattern kernels for predictive graph mining	34
('A network-based approach to classify the three domains of life', 2011)	A network-based approach to classify the three domains of life	1	1	1	./bibliographies\database18.txt	Mueller LA, Kugler KG, Netzer M, Graber A, Dehmer M., A network-based approach to classify the three domains of life	57
('A comprehensive structural-based similarity measure in directed graphs', 2015)	A comprehensive structural-based similarity measure in directed graphs	1	1	1	./bibliographies\database2.txt	Mingxi Zhang, Hao Hu, Zhenying He, Liping Gao, Liujie Sun, A comprehensive structural-based similarity measure in directed graphs	41
('MAGNA: Maximizing Accuracy in Global Network Alignment', 2014)	MAGNA: Maximizing Accuracy in Global Network Alignment	1	1	1	./bibliographies\database20.txt	Vikram Saraph, Tijana Milenkovic, MAGNA: Maximizing Accuracy in Global Network Alignment	43
('Graphlet-based measures are suitable for biological network comparison', 2013)	Graphlet-based measures are suitable for biological network comparison	1	1	1	./bibliographies\database21.txt	Wayne Hayes, Kai Sun, Natasa Przulj, Graphlet-based measures are suitable for biological network comparison	51
('Biological network comparison using graphlet degree distribution', 2010)	Biological network comparison using graphlet degree distribution	1	1	1	./bibliographies\database22.txt	Natasa Przulj, Biological network comparison using graphlet degree distribution	41
('How threshold behaviour affects the use of subgraphs for network comparison', 2010)	How threshold behaviour affects the use of subgraphs for network comparison	1	1	1	./bibliographies\database23.txt	Tiago Rito, Zi Wang, Charlotte M. Deane, Gesine Reinert, How threshold behaviour affects the use of subgraphs for network comparison	28
('Alignment-free protein interaction network comparison', 2014)	Alignment-free protein interaction network comparison	1	1	1	./bibliographies\database24.txt	Waqar Ali, Tiago Rito, Gesine Reinert, Fengzhu Sun, Charlotte M. Deane, Alignment-free protein interaction network comparison	46
('Networks for systems biology: conceptual connection of data and function', 2011)	Networks for systems biology: conceptual connection of data and function	1	1	1	./bibliographies\database25.txt	F. Emmert-Streib, M. Dehmer, Networks for systems biology: conceptual connection of data and function	248
