hash	verified	citation	URL	DOI	year	title	author
('http://www.theglobaljournals.com/ijar/file.php?val=May_2014_1398965985_e9548_110.pdf', 2011.0)	0.0	Esfahanian, Abdol Hossein, 2012. Connectivity algorithms. <http://www.cse.msu.edu/âˆ¼cse835/Papers/Graph_connectivity_revised.pdf>. European Commission, 2011 European Commission, 2011. Flightpath 2050 europeâ€™s vision for aviation. URL <http://ec.europa.eu/transport/modes/air/doc/flightpath2050.pdf>.	http://dx.doi.org/10.15373/2249555x/may2014/111	10.15373/2249555x/may2014/111	2011.0	http://www.theglobaljournals.com/ijar/file.php?val=May_2014_1398965985_e9548_110.pdf	None
('Rutgers University Subcontract B611610 Final Report', 2015.0)	0.0	Soundarajan, Sucheta, Eliassi-Rad, Tina, Gallagher, Brian, 2013. Which network similarity measure should you choose: an empirical study. In: Workshop on Information in Networks, New York, USA.	http://dx.doi.org/10.2172/1226949	10.2172/1226949	2015.0	Rutgers University Subcontract B611610 Final Report	Sucheta Soundarajan and Tina Eliassi-Rad and Brian Gallagher and Ali Pinar
('Michele Berlingerio, Danai Koutra, Tina Eliassi-Rad, Christos Faloutsos Netsimile: a scalable approach to size-independent network similarity CoRR (2012) abs/1209.2684. URL <http://arxiv.org/abs/1209.2684>', 'CITATION ONLY')	0.0	Michele Berlingerio, Danai Koutra, Tina Eliassi-Rad, Christos Faloutsos Netsimile: a scalable approach to size-independent network similarity CoRR (2012) abs/1209.2684. URL <http://arxiv.org/abs/1209.2684>	http://dx.doi.org/10.1145/2492517.2492582	10.1145/2492517.2492582	2013.0	Network similarity via multiple social theories	Michele Berlingerio and Danai Koutra and Tina Eliassi-Rad and Christos Faloutsos
('An introduction to computer security :', 1995.0)	0.0	Mark Newman Networks-An Introduction Oxford University Press (2010) NIST, 2014 NIST, 2014. Handbook of statistical methods. <http://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm>.	http://dx.doi.org/10.6028/nist.sp.800-12	10.6028/nist.sp.800-12	1995.0	An introduction to computer security :	Barbara Guttman and Edward Roback
('Correlation Coefficient Goodness-of-Fit Test for the Extreme-Value Distribution', 1989.0)	0.0	Vogiatzi, Evgenia, 2002. Goodness of fit and correlation coefficient. <http://www.oocities.org/qecon2002/founda6.html>	http://dx.doi.org/10.2307/2684510	10.2307/2684510	1989.0	Correlation Coefficient Goodness-of-Fit Test for the Extreme-Value Distribution	Robert Kinnison
('Bridging CNS and ATM - Harmonisation between NextGen and SESAR', 2012.0)	0.0	Vitali, S. et al., 2012. Statistical regularities in atm: Network properties, trajectory deviations and delays. in: Second SESAR Innovation Days.	http://dx.doi.org/10.1109/icnsurv.2012.6218502	10.1109/icnsurv.2012.6218502	2012.0	Bridging CNS and ATM - Harmonisation between NextGen and SESAR	N. Fistas
('Fleurquin, Pablo, Ramasco, Jose, Eguiluz, Victor, 2013b. Data-driven modeling of systemic delay propagation under severe meteorological conditions. In: 10th USA/Europe ATM Seminar. URL <http://arxiv.org/ftp/arxiv/papers/1308/1308.0438.pdf>.', 'CITATION ONLY')	0.0	Fleurquin, Pablo, Ramasco, Jose, Eguiluz, Victor, 2013b. Data-driven modeling of systemic delay propagation under severe meteorological conditions. In: 10th USA/Europe ATM Seminar. URL <http://arxiv.org/ftp/arxiv/papers/1308/1308.0438.pdf>.	http://dx.doi.org/10.1038/srep01159	10.1038/srep01159	2013.0	Systemic delay propagation in the US airport network	Pablo Fleurquin and José J. Ramasco and Victor M. Eguiluz
('Trajectory prediction in North Atlantic oceanic airspace by wind networking', 2014.0)	0.0	Rodionova, Olga, Sbihi, Mohamed, Delahaye, Daniel, Mongeau, Marcel, 2012. Optimization of aicraft trajectories in north atlantic oceanic airspace. In: 5th International Conferences on Research in Air Transportation (ICRAT).	http://dx.doi.org/10.1109/dasc.2014.6979511	10.1109/dasc.2014.6979511	2014.0	Trajectory prediction in North Atlantic oceanic airspace by wind networking	Olga Rodionova and Daniel Delahaye and Mohamed Sbihi and Marcel Mongeau
('Computational Prediction of Conserved microRNAs from Solanum tuberosum', 2009.0)	0.0	Zhang F, Lu M, Zhang Q, Zhang F, Gao W, Cui Q: Prediction of the microRNAs related to cardiovascular diseases by bioinformatics. Beijing Daxue Xuebao, Yixueban. 2009, 41: 112-116.	http://dx.doi.org/10.1109/icbbe.2009.5162552	10.1109/icbbe.2009.5162552	2009.0	Computational Prediction of Conserved microRNAs from Solanum tuberosum	Wen-Zheng Yang and Jian-Guang Zhang and Ji-Shuang Chen
('Book ReviewsThe Social Learning Group. 2001. Learning to Manage Global Environmental Risks, Volume 1: A Functional Analysis of Social Responses to Climate Change, Ozone Depletion, and Acid Rain. Cambridge, MA: The MIT Press.The Social Learning Group. 2001. Learning to Manage Global Environmental Risks, Volume 2: A Comparative History of Social Responses to Climate Change, Ozone Depletion, and Acid Rain. Cambridge, MA: The MIT Press.', 2002.0)	0.0	Zhou D, Bousquet O, Lal TN, Weston J, SchlÃ¶kopf B: Learning with local and global consistency. Advanced Neural Information Processing Systems. Volume 16. 2004, Cambridge, MA: MIT Press, 321-328.	http://dx.doi.org/10.1162/15263800260047871	10.1162/15263800260047871	2002.0	Book ReviewsThe Social Learning Group. 2001. Learning to Manage Global Environmental Risks, Volume 1: A Functional Analysis of Social Responses to Climate Change, Ozone Depletion, and Acid Rain. Cambridge, MA: The MIT Press.The Social Learning Group. 2001. Learning to Manage Global Environmental Risks, Volume 2: A Comparative History of Social Responses to Climate Change, Ozone Depletion, and Acid Rain. Cambridge, MA: The MIT Press.	Ronald B. Mitchell
