protein1 protein2 combined_score
243273.MgenG_010200000015 243273.MgenG_010200003068 224
243273.MgenG_010200000015 243273.MgenG_010200001953 336
243273.MgenG_010200000015 243273.MgenG_010200002679 409
243273.MgenG_010200000015 243273.MgenG_010200000035 488
243273.MgenG_010200000015 243273.MgenG_010200000975 175
243273.MgenG_010200000015 243273.MgenG_010200002721 780
243273.MgenG_010200000015 243273.MgenG_010200002314 425
243273.MgenG_010200000015 243273.MgenG_010200000345 201
243273.MgenG_010200000015 243273.MgenG_010200001707 538
243273.MgenG_010200000015 243273.MgenG_010200001808 453
243273.MgenG_010200000015 243273.MgenG_010200001597 159
243273.MgenG_010200000015 243273.MgenG_010200001342 416
243273.MgenG_010200000015 243273.MgenG_010200001100 697
243273.MgenG_010200000015 243273.MgenG_010200000010 979
243273.MgenG_010200000015 243273.MgenG_010200001110 741
243273.MgenG_010200000015 243273.MgenG_010200002971 771
243273.MgenG_010200000015 243273.MgenG_010200001853 174
243273.MgenG_010200000015 243273.MgenG_010200001803 201
243273.MgenG_010200000015 243273.MgenG_010200000095 162
243273.MgenG_010200000015 243273.MgenG_010200000310 436
243273.MgenG_010200000015 243273.MgenG_010200000455 455
243273.MgenG_010200000015 243273.MgenG_010200002649 225
243273.MgenG_010200000015 243273.MgenG_010200002976 521
243273.MgenG_010200000015 243273.MgenG_010200003073 659
243273.MgenG_010200000015 243273.MgenG_010200001432 492
243273.MgenG_010200000015 243273.MgenG_010200002841 203
243273.MgenG_010200000015 243273.MgenG_010200001487 178
243273.MgenG_010200000015 243273.MgenG_010200002776 645
243273.MgenG_010200000015 243273.MgenG_010200000205 381
243273.MgenG_010200000015 243273.MgenG_010200002209 156
243273.MgenG_010200000015 243273.MgenG_010200001968 589
243273.MgenG_010200000015 243273.MgenG_010200001667 589
243273.MgenG_010200000015 243273.MgenG_010200001512 197
243273.MgenG_010200000015 243273.MgenG_010200000780 912
243273.MgenG_010200000015 243273.MgenG_010200001200 279
243273.MgenG_010200000015 243273.MgenG_010200000030 890
243273.MgenG_010200000015 243273.MgenG_010200002194 170
243273.MgenG_010200000015 243273.MgenG_010200003058 320
243273.MgenG_010200000015 243273.MgenG_010200000725 169
243273.MgenG_010200000015 243273.MgenG_010200002736 191
243273.MgenG_010200000015 243273.MgenG_010200000625 506
243273.MgenG_010200000015 243273.MgenG_010200002309 307
243273.MgenG_010200000015 243273.MgenG_010200000865 757
243273.MgenG_010200000015 243273.MgenG_010200002149 220
243273.MgenG_010200000015 243273.MgenG_010200000125 432
243273.MgenG_010200000015 243273.MgenG_010200000605 192
243273.MgenG_010200000015 243273.MgenG_010200001250 273
243273.MgenG_010200000015 243273.MgenG_010200001452 534
243273.MgenG_010200000015 243273.MgenG_010200001010 265
243273.MgenG_010200000015 243273.MgenG_010200000665 606
243273.MgenG_010200000015 243273.MgenG_010200002299 268
243273.MgenG_010200000015 243273.MgenG_010200002529 161
243273.MgenG_010200000015 243273.MgenG_010200000550 359
243273.MgenG_010200000015 243273.MgenG_010200002664 816
243273.MgenG_010200000015 243273.MgenG_010200001903 558
243273.MgenG_010200000015 243273.MgenG_010200000390 617
243273.MgenG_010200000015 243273.MgenG_010200002604 159
243273.MgenG_010200000015 243273.MgenG_010200000450 634
243273.MgenG_010200000015 243273.MgenG_010200002981 221
243273.MgenG_010200000015 243273.MgenG_010200001387 182
243273.MgenG_010200000015 243273.MgenG_010200001582 979
243273.MgenG_010200000015 243273.MgenG_010200002599 398
243273.MgenG_010200000015 243273.MgenG_010200003181 758
243273.MgenG_010200000015 243273.MgenG_010200002284 188
243273.MgenG_010200000015 243273.MgenG_010200002761 169
243273.MgenG_010200000015 243273.MgenG_010200000145 370
243273.MgenG_010200000015 243273.MgenG_010200000295 553
243273.MgenG_010200000015 243273.MgenG_010200003136 754
243273.MgenG_010200000015 243273.MgenG_010200002726 579
243273.MgenG_010200000015 243273.MgenG_010200001397 168
243273.MgenG_010200000015 243273.MgenG_010200000935 584
243273.MgenG_010200000015 243273.MgenG_010200002644 386
243273.MgenG_010200000015 243273.MgenG_010200001180 577
243273.MgenG_010200000015 243273.MgenG_010200002169 162
243273.MgenG_010200000015 243273.MgenG_010200000110 264
243273.MgenG_010200000015 243273.MgenG_010200001622 574
243273.MgenG_010200000015 243273.MgenG_010200000230 224
243273.MgenG_010200000015 243273.MgenG_010200001392 567
243273.MgenG_010200000015 243273.MgenG_010200002254 435
243273.MgenG_010200000015 243273.MgenG_010200000880 152
243273.MgenG_010200000015 243273.MgenG_010200000790 164
243273.MgenG_010200000015 243273.MgenG_010200003305 590
243273.MgenG_010200000015 243273.MgenG_010200000400 161
243273.MgenG_010200000015 243273.MgenG_010200003205 663
243273.MgenG_010200000015 243273.MgenG_010200003245 158
243273.MgenG_010200000015 243273.MgenG_010200001958 181
243273.MgenG_010200000015 243273.MgenG_010200002816 430
243273.MgenG_010200000015 243273.MgenG_010200002294 361
243273.MgenG_010200000015 243273.MgenG_010200002836 306
243273.MgenG_010200000015 243273.MgenG_010200001672 348
243273.MgenG_010200000015 243273.MgenG_010200001893 188
243273.MgenG_010200000015 243273.MgenG_010200000995 948
243273.MgenG_010200000015 243273.MgenG_010200000715 608
243273.MgenG_010200000015 243273.MgenG_010200000190 224
243273.MgenG_010200000015 243273.MgenG_010200000730 169
243273.MgenG_010200000015 243273.MgenG_010200001777 226
243273.MgenG_010200000015 243273.MgenG_010200002504 172
243273.MgenG_010200000015 243273.MgenG_010200001095 652
243273.MgenG_010200000015 243273.MgenG_010200001602 642
243273.MgenG_010200000015 243273.MgenG_010200003275 549
243273.MgenG_010200000015 243273.MgenG_010200002164 240
243273.MgenG_010200000015 243273.MgenG_010200001307 621
243273.MgenG_010200000015 243273.MgenG_010200000955 563
243273.MgenG_010200000015 243273.MgenG_010200003141 172
243273.MgenG_010200000015 243273.MgenG_010200000280 638
243273.MgenG_010200000015 243273.MgenG_010200002229 162
243273.MgenG_010200000015 243273.MgenG_010200001627 185
243273.MgenG_010200000020 243273.MgenG_010200001602 491
243273.MgenG_010200000020 243273.MgenG_010200001135 586
243273.MgenG_010200000020 243273.MgenG_010200002049 336
243273.MgenG_010200000020 243273.MgenG_010200002786 551
243273.MgenG_010200000020 243273.MgenG_010200002234 553
243273.MgenG_010200000020 243273.MgenG_010200001727 162
243273.MgenG_010200000020 243273.MgenG_010200003038 176
243273.MgenG_010200000020 243273.MgenG_010200000895 985
243273.MgenG_010200000020 243273.MgenG_010200001722 166
243273.MgenG_010200000020 243273.MgenG_010200000290 904
243273.MgenG_010200000020 243273.MgenG_010200002134 537
243273.MgenG_010200000020 243273.MgenG_010200002891 172
243273.MgenG_010200000020 243273.MgenG_010200001322 439
243273.MgenG_010200000020 243273.MgenG_010200002619 273
243273.MgenG_010200000020 243273.MgenG_010200002204 630
243273.MgenG_010200000020 243273.MgenG_010200002639 521
243273.MgenG_010200000020 243273.MgenG_010200002569 497
243273.MgenG_010200000020 243273.MgenG_010200001185 719
243273.MgenG_010200000020 243273.MgenG_010200000305 913
243273.MgenG_010200000020 243273.MgenG_010200000650 185
243273.MgenG_010200000020 243273.MgenG_010200002259 456
243273.MgenG_010200000020 243273.MgenG_010200000335 565
243273.MgenG_010200000020 243273.MgenG_010200002023 211
243273.MgenG_010200000020 243273.MgenG_010200000445 165
243273.MgenG_010200000020 243273.MgenG_010200003096 933
243273.MgenG_010200000020 243273.MgenG_010200003111 192
243273.MgenG_010200000020 243273.MgenG_010200001005 736
243273.MgenG_010200000020 243273.MgenG_010200000395 460
243273.MgenG_010200000020 243273.MgenG_010200000090 270
243273.MgenG_010200000020 243273.MgenG_010200002539 295
243273.MgenG_010200000020 243273.MgenG_010200002941 963
243273.MgenG_010200000020 243273.MgenG_010200000085 503
243273.MgenG_010200000020 243273.MgenG_010200001572 349
243273.MgenG_010200000020 243273.MgenG_010200002289 705
243273.MgenG_010200000020 243273.MgenG_010200000480 181
243273.MgenG_010200000020 243273.MgenG_010200001170 384
243273.MgenG_010200000020 243273.MgenG_010200001095 863
243273.MgenG_010200000020 243273.MgenG_010200002766 358
243273.MgenG_010200000020 243273.MgenG_010200002956 575
243273.MgenG_010200000020 243273.MgenG_010200000195 698
243273.MgenG_010200000020 243273.MgenG_010200001492 167
243273.MgenG_010200000020 243273.MgenG_010200002519 195
243273.MgenG_010200000020 243273.MgenG_010200003171 303
243273.MgenG_010200000020 243273.MgenG_010200000185 713
243273.MgenG_010200000020 243273.MgenG_010200000620 615
243273.MgenG_010200000020 243273.MgenG_010200003063 196
243273.MgenG_010200000020 243273.MgenG_010200000490 410
243273.MgenG_010200000020 243273.MgenG_010200002594 593
243273.MgenG_010200000020 243273.MgenG_010200000135 369
243273.MgenG_010200000020 243273.MgenG_010200001115 458
243273.MgenG_010200000020 243273.MgenG_010200002159 582
243273.MgenG_010200000020 243273.MgenG_010200000670 298
243273.MgenG_010200000020 243273.MgenG_010200003373 160
243273.MgenG_010200000020 243273.MgenG_010200003176 590
243273.MgenG_010200000020 243273.MgenG_010200000775 480
243273.MgenG_010200000020 243273.MgenG_010200001677 206
243273.MgenG_010200000020 243273.MgenG_010200001782 291
243273.MgenG_010200000020 243273.MgenG_010200002008 517
243273.MgenG_010200000020 243273.MgenG_010200000795 224
243273.MgenG_010200000020 243273.MgenG_010200002609 787
243273.MgenG_010200000020 243273.MgenG_010200001742 496
243273.MgenG_010200000020 243273.MgenG_010200003146 724
243273.MgenG_010200000020 243273.MgenG_010200000945 296
243273.MgenG_010200000020 243273.MgenG_010200000720 575
243273.MgenG_010200000020 243273.MgenG_010200003101 189
243273.MgenG_010200000020 243273.MgenG_010200002781 295
243273.MgenG_010200000020 243273.MgenG_010200003353 279
243273.MgenG_010200000020 243273.MgenG_010200002319 469
243273.MgenG_010200000020 243273.MgenG_010200000860 542
243273.MgenG_010200000020 243273.MgenG_010200000040 885
243273.MgenG_010200000020 243273.MgenG_010200000655 502
243273.MgenG_010200000020 243273.MgenG_010200002851 669
243273.MgenG_010200000020 243273.MgenG_010200002214 529
243273.MgenG_010200000020 243273.MgenG_010200000825 261
243273.MgenG_010200000020 243273.MgenG_010200000340 190
